:START_ID(Executive),jobs,:END_ID(Stock),:TYPE
191c7be4ff8ecc3df56be8b6291d855a,董事长/董事,000982,employ_of
cf41a01f330479b2be549d8219c7f8c3,董事,000982,employ_of
7de8d726b23e0953ce72d43f0b2eb0a8,董事,000982,employ_of
312e1a9a5f34d171c0f0031325e6c1ba,董事,000982,employ_of
284b42fcd45c826735c70ac23cce50c5,董事,000982,employ_of
5f219a1771b6dce8121828cdcda407ad,独立董事,000982,employ_of
914eade65ada07e0fb69e2e0a49a6f4e,独立董事,000982,employ_of
7b950c1f6a12b7b7f1dea01a3a5d1706,独立董事,000982,employ_of
bf1eb969f1a904eeeb0fa827119c7139,董事长/董事,601799,employ_of
4ac57c0092c697b485b1bca2e4e81ea8,董事,601799,employ_of
e723dca518ee6402997aa6e4231eed9f,董事,601799,employ_of
ad537a8dc73b76059688b5cdd69a66ba,董事,601799,employ_of
fcbb5362f4ab066fa758a24c82ffe349,独立董事,601799,employ_of
72b9e2935c87509d256adec4c6b42f52,独立董事,601799,employ_of
789e616d6ed1bf1c206461d481411565,独立董事,601799,employ_of
7ee3d8ad58b9fd2bf7e24dfd6a461fd9,董事长/董事,600022,employ_of
2d11084d1e466de4bf7a4ede6e7517b0,副董事长/董事,600022,employ_of
973883ce2e2bc7de84534152997e2151,董事,600022,employ_of
6d48bc0927941c613361c765f757c709,董事,600022,employ_of
4ad98bf8adeb0914982803a887b9f1a5,独立董事,600022,employ_of
8bbd5e9872b7a82bcf256f5cfdc91586,独立董事,600022,employ_of
28c07aac7d884948191ecb804b6be5a7,独立董事,600022,employ_of
c7e43bcaab331a789ae1808c365474c1,独立董事,600022,employ_of
fca25429c74bb7631dc7fe5caa4dc99f,独立董事,600022,employ_of
f03784e3309b31fa902c3ebc987c330f,董事长/董事,002116,employ_of
6446e58e1608c2b2bf92e8304475f054,董事,002116,employ_of
39fd4c9017bb63c1afea1db2bf26f424,董事,002116,employ_of
f4a3a43dd500fc09df901ef4a173947f,董事,002116,employ_of
51b286f865a71f371e67848680f5aec2,董事,002116,employ_of
9b154f7d10b331c8c5a58545a40d771e,董事,002116,employ_of
5a07d9e7c0e4137bf3aa488fa01941a5,独立董事,002116,employ_of
55c526fec978871dc65c44a48389a3e1,独立董事,002116,employ_of
aba47eba1924f5381dd32f28dbb871db,独立董事,002116,employ_of
2aa6b16275c6a21fb670e5ec23afca84,独立董事,002116,employ_of
2ea4de16579ca7a010098525a3b5f505,董事长/董事,600188,employ_of
cd1960e205fbd005df7724cbbe9635c9,副董事长/董事,600188,employ_of
